,,,,,,,,,,,,,,,
Year,Small Hydro Power,Wind Power,,,,,,,,,,Solar Power Total,Large Hydro,Total Capacity,
,,,Biomass Power/ Bagasse Cogeneration,Biomass Cogeneration (Non-Bagasse),Waste to Energy,Waste to Energy (Off-grid),Bio Power Total,Ground Mounted Solar,"PM-Surya Ghar Yojna (Solar
Rooftop)",Hybrid Solar Comp.,Off-grid Solar/ KUSUM,,,,
2009-2010,12.6,1863.63,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1876.73, source link
2010-2011,15.6,2176.43,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,2197.53,
2013-2014,15.6,3365.49,55.4,N/A,N/A,13.58,68.98,N/A,916.4,N/A,10.35,926.75,N/A,4376.82,link
2014-2015,16.6,3556.22,65.3,N/A,N/A,13.58,78.88,1000.05,N/A,N/A,11.64,1011.69,N/A,4663.39,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/2023080358.pdf
2015-2016,16.6,3948.62,65.3,N/A,N/A,13.62,78.92,1119.173,N/A,N/A,18.65,1137.82,N/A,5181.96,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/2023080357.pdf
2016-2017,16.6,5340.62,65.3,N/A,N/A,14.69,79.99,1249.37,N/A,N/A,28.82,1278.19,N/A,6715.4,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/20230803100.pdf
2017-2018,28.6,5613.42,65.3,N/A,N/A,15.94,81.24,1494.31,93.69,N/A,38.19,1626.19,N/A,7349.45,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/2023080383-1.pdf
2018-2019,61.3,6073.07,65.3,12,N/A,17.73,95.03,2113.46,326.67,N/A,38.19,2478.32,N/A,8707.72,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/2023080345.pdf
2019-2020,68.95,7541.52,65.3,12,N/A,19.23,96.53,2426.44,521.93,N/A,38.4,2986.77,N/A,10693.77,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/2023080374.pdf
2020-2021,82.69,8561.82,65.3,12,N/A,22.57,99.87,3425.17,1005.65,N/A,39.05,4469.87,N/A,13214.25,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/2023080355.pdf
2021-2022,89.39,9209.22,65.3,12,7.5,24.46,109.26,5333.67,1805.33,N/A,41.03,7180.03,N/A,16587.9,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/2023080392.pdf
2022-2023,91.64,9978.92,65.3,12,7.5,25.93,110.73,N/A,N/A,N/A,N/A,9254.56,N/A,19435.85,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/08/2023080333.pdf
2023-2024,106.64,12473.78,65.30,12.00,7.50,31.80,116.60,11094.82,4822.20,789.66,89.09,16795.77,1990.00,31482.79,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2024/05/20240524405410771.pdf
